nombre campaña,fecha inicio,fecha fin,inversión,retorno inversión,tipo,audiencia target,canal,ratio conversión,facturación,duración días,categoría duración,beneficio neto,campaña exitosa,categoría inversión,categoría beneficio
Secured systematic architecture,2022-11-26,2024-04-16,"96.917,97","0,55",podcast,B2C,promotion,"0,39","571.977,28",507.0,larga,"475.059,31",Sí,alto,medio
Seamless bifurcated firmware,2022-09-06,2023-12-12,"28.323,41","0,84",webinar,B2B,organic,"0,90","984.261,30",462.0,larga,"955.937,89",Sí,bajo,alto
Intuitive directional website,2023-06-15,2024-01-07,"63.656,18","0,17",podcast,B2B,referral,"0,40","77.500,94",206.0,corta,"13.844,76",Sí,alto,bajo
Mandatory incremental throughput,2023-02-28,2024-07-01,"69.084,10","0,51",podcast,B2B,organic,"0,98","210.953,33",489.0,larga,"141.869,23",Sí,alto,bajo
Organic 24/7 secured line,2023-07-14,2023-10-06,"65.447,41","0,50",email,B2B,paid,"0,26","477.907,76",84.0,corta,"412.460,35",Sí,alto,medio
User-friendly analyzing moratorium,2023-04-06,2024-03-16,"20.328,53","0,99",email,B2B,organic,"0,97","658.107,70",345.0,media,"637.779,17",Sí,bajo,alto
Programmable discrete intranet,2023-03-05,2024-02-13,"8.041,90","0,50",social media,B2B,paid,"0,96","567.808,35",345.0,media,"559.766,45",Sí,bajo,medio
Future-proofed empowering forecast,2022-12-11,2023-11-05,"19.030,69","0,39",webinar,B2C,promotion,"0,75","472.138,22",329.0,media,"453.107,53",Sí,bajo,medio
Re-engineered solution-oriented core,2022-10-20,2024-02-11,"6.124,70","0,87",email,B2B,referral,"0,67","397.435,21",479.0,larga,"391.310,51",Sí,bajo,medio
Diverse grid-enabled forecast,2022-11-18,2023-11-18,"11.271,19","0,96",social media,B2C,referral,"0,81","538.367,39",365.0,media,"527.096,20",Sí,bajo,medio
Function-based motivating functionalities,2022-12-11,2024-03-18,"28.203,84","0,64",email,B2C,organic,"0,24","570.246,17",463.0,larga,"542.042,33",Sí,bajo,medio
User-centric holistic firmware,2022-08-06,2024-03-12,"99.957,15","0,63",webinar,B2C,referral,"0,62","430.498,24",584.0,larga,"330.541,09",Sí,alto,bajo
Virtual real-time architecture,2023-06-06,2023-12-25,"27.675,42","0,70",email,B2B,paid,"0,10","672.667,53",202.0,corta,"644.992,11",Sí,bajo,alto
Open-source 6thgeneration secured line,2023-03-07,2023-09-30,"12.480,75","0,90",podcast,B2B,promotion,"0,82","847.778,95",207.0,corta,"835.298,20",Sí,bajo,alto
Reduced leadingedge architecture,2023-04-23,2024-06-06,"84.119,33","0,93",email,B2C,organic,"0,64","816.593,62",410.0,media,"732.474,29",Sí,alto,alto
Fully-configurable 24/7 knowledgebase,2022-09-30,2024-01-20,"6.658,22","0,64",webinar,B2C,promotion,"0,30","273.952,77",477.0,larga,"267.294,55",Sí,bajo,bajo
Organic 4thgeneration neural-net,2022-10-29,2024-04-16,"53.826,21","0,20",podcast,B2B,promotion,"0,20","683.796,77",535.0,larga,"629.970,56",Sí,medio,alto
Centralized 3rdgeneration budgetary management,2023-07-26,2023-08-11,"85.125,00","0,56",webinar,B2C,promotion,"0,14","364.648,39",16.0,corta,"279.523,39",Sí,alto,bajo
Persevering web-enabled workforce,2023-06-23,2024-01-03,"79.220,80","0,60",social media,B2C,paid,"0,30","29.575,48",194.0,corta,"-49.645,32",No,alto,bajo
Multi-channeled high-level interface,2023-04-06,2023-08-15,"46.560,50","0,67",social media,B2C,paid,"0,85","489.015,27",131.0,corta,"442.454,77",Sí,medio,medio
Re-contextualized high-level project,2023-07-13,2024-04-22,"56.850,62","0,84",social media,B2C,referral,"0,98","383.111,17",284.0,media,"326.260,55",Sí,medio,bajo
Right-sized tangible product,2022-11-09,2024-02-16,"94.856,15","0,84",email,B2B,referral,"0,23","283.711,16",464.0,larga,"188.855,01",Sí,alto,bajo
Diverse leadingedge initiative,2022-10-17,2023-08-16,"93.383,63","0,60",email,B2B,promotion,"0,76","749.909,68",303.0,media,"656.526,05",Sí,alto,alto
Intuitive transitional hardware,2023-02-25,2023-09-15,"26.183,57","0,47",social media,B2B,referral,"0,26","429.790,10",202.0,corta,"403.606,53",Sí,bajo,medio
Diverse 6thgeneration superstructure,2022-08-05,2024-01-05,"99.128,36","0,90",email,B2B,promotion,"0,78","852.334,60",518.0,larga,"753.206,24",Sí,alto,alto
Enhanced 4thgeneration hierarchy,2022-08-06,2024-04-17,"80.647,64","0,90",webinar,B2B,referral,"0,81","872.159,47",620.0,larga,"791.511,83",Sí,alto,alto
Function-based systematic emulation,2023-03-02,2024-07-12,"30.883,42","0,63",social media,B2B,paid,"0,37","873.342,13",498.0,larga,"842.458,71",Sí,bajo,alto
Managed asymmetric array,2022-10-14,2024-07-06,"24.998,61","0,40",webinar,B2C,organic,"0,39","71.257,79",631.0,larga,"46.259,18",Sí,bajo,bajo
Enterprise-wide mission-critical utilization,2022-09-29,2023-09-05,"64.119,81","0,26",social media,B2B,promotion,"0,93","211.910,58",341.0,media,"147.790,77",Sí,alto,bajo
Adaptive clear-thinking methodology,2023-05-16,2024-03-21,"60.594,85","0,49",social media,B2C,paid,"0,82","850.376,61",310.0,media,"789.781,76",Sí,alto,alto
Networked zero administration model,2022-11-01,2023-11-06,"22.411,36","0,51",webinar,B2C,organic,"0,40","102.385,82",370.0,media,"79.974,46",Sí,bajo,bajo
Seamless well-modulated open architecture,2022-08-28,2023-10-09,"47.906,32","0,74",webinar,B2B,promotion,"0,45","871.834,53",407.0,media,"823.928,21",Sí,medio,alto
Exclusive radical installation,2022-08-09,2023-10-10,"28.548,76","0,28",email,B2C,promotion,"0,60","181.056,53",427.0,media,"152.507,77",Sí,bajo,bajo
Intuitive bottom-line algorithm,2022-08-27,2024-05-06,"44.251,43","0,72",email,B2B,referral,"0,16","846.562,30",618.0,larga,"802.310,87",Sí,medio,alto
Compatible stable extranet,2022-12-24,2023-11-13,"32.895,11","0,80",podcast,B2C,referral,"0,10","136.858,12",324.0,media,"103.963,01",Sí,bajo,bajo
Progressive secondary synergy,2022-11-08,2024-04-06,"55.985,90","0,90",social media,B2B,organic,"0,59","505.421,93",515.0,larga,"449.436,03",Sí,medio,medio
Sharable next generation ability,2022-12-15,2024-02-19,"23.212,27","0,13",webinar,B2C,referral,"0,49","830.178,20",431.0,media,"806.965,93",Sí,bajo,alto
Devolved value-added support,2023-07-02,2024-02-13,"42.051,60","0,32",email,B2B,referral,"0,25","287.690,50",226.0,corta,"245.638,90",Sí,medio,bajo
Front-line full-range matrices,2022-08-04,2023-08-10,"79.829,52","0,69",email,B2B,paid,"0,70","472.828,97",371.0,media,"392.999,45",Sí,alto,medio
Grass-roots foreground firmware,2023-04-26,2024-04-21,"96.169,66","0,28",podcast,B2C,organic,"0,45","455.474,93",361.0,media,"359.305,27",Sí,alto,medio
Implemented reciprocal monitoring,2023-02-26,2024-06-19,"72.722,22","0,79",email,B2C,organic,"0,10","619.138,31",479.0,larga,"546.416,09",Sí,alto,medio
Reverse-engineered foreground approach,2023-02-22,2024-02-18,"52.125,20","0,16",webinar,B2C,referral,"0,80","27.754,76",361.0,media,"-24.370,44",No,medio,bajo
Open-source maximized projection,2023-03-23,2024-03-22,"77.340,13","0,53",webinar,B2B,referral,"0,74","347.402,29",365.0,media,"270.062,16",Sí,alto,bajo
Intuitive object-oriented moratorium,2022-12-18,2023-08-28,"97.763,51","0,23",webinar,B2C,promotion,"0,70","244.772,45",253.0,corta,"147.008,94",Sí,alto,bajo
Virtual 4thgeneration Graphical User Interface,2023-07-27,2024-03-27,"15.463,29","0,38",social media,B2B,promotion,"0,60","963.251,51",244.0,corta,"947.788,22",Sí,bajo,alto
Reactive multi-tasking extranet,2022-12-26,2023-08-25,"51.210,38","0,82",email,B2B,referral,"0,83","536.138,69",242.0,corta,"484.928,31",Sí,medio,medio
Enhanced heuristic archive,2023-05-05,2023-09-26,"16.066,41","0,67",email,B2B,paid,"0,30","508.865,73",144.0,corta,"492.799,32",Sí,bajo,medio
Stand-alone bandwidth-monitored capability,2022-10-10,2024-03-29,"89.383,19","0,83",social media,B2C,referral,"0,77","828.963,15",536.0,larga,"739.579,96",Sí,alto,alto
Open-source coherent archive,2022-08-18,2024-06-11,"46.558,00","0,88",podcast,B2B,organic,"0,40","315.646,86",663.0,larga,"269.088,86",Sí,medio,bajo
Future-proofed coherent core,2022-09-14,2024-05-08,"62.178,30","0,28",social media,B2C,paid,"0,20","317.338,48",602.0,larga,"255.160,18",Sí,alto,bajo
Decentralized radical emulation,2022-09-18,2024-04-23,"20.201,50","0,76",webinar,B2B,promotion,"0,89","335.385,42",583.0,larga,"315.183,92",Sí,bajo,bajo
Team-oriented content-based data-warehouse,2022-11-12,2024-01-15,"43.643,99","0,26",social media,B2C,organic,"0,55","470.023,84",429.0,media,"426.379,85",Sí,medio,medio
Expanded tangible capacity,2023-06-26,2024-05-07,"20.647,17","0,87",email,B2B,organic,"0,78","759.838,76",316.0,media,"739.191,59",Sí,bajo,alto
Secured methodical system engine,2023-05-30,2024-05-08,"29.781,93","0,51",webinar,B2C,paid,"0,46","567.832,12",344.0,media,"538.050,19",Sí,bajo,medio
Synergistic well-modulated conglomeration,2023-04-23,2023-11-23,"89.003,41","0,87",podcast,B2C,referral,"0,18","643.537,76",214.0,corta,"554.534,35",Sí,alto,medio
Programmable dedicated ability,2022-10-18,2024-03-26,"34.838,17","0,55",podcast,B2B,promotion,"0,22","286.374,76",525.0,larga,"251.536,59",Sí,bajo,bajo
Public-key dynamic synergy,2023-03-03,2023-11-16,"8.209,80","0,91",webinar,B2B,paid,"0,78","725.706,76",258.0,corta,"717.496,96",Sí,bajo,alto
Synergistic actuating benchmark,2022-12-14,2023-08-20,"13.024,35","0,20",email,B2C,organic,"0,99","882.368,60",249.0,corta,"869.344,25",Sí,bajo,alto
Optional client-driven approach,2022-12-30,2024-07-02,"9.180,95","0,39",webinar,B2C,organic,"0,97","93.102,44",550.0,larga,"83.921,49",Sí,bajo,bajo
Cloned exuding matrices,2023-06-03,2024-07-16,"46.215,77","0,65",email,B2C,paid,"0,63","326.486,31",409.0,media,"280.270,54",Sí,medio,bajo
Expanded zero tolerance adapter,2022-09-19,2024-05-07,"80.474,62","0,86",email,B2C,organic,"0,70","394.021,52",596.0,larga,"313.546,90",Sí,alto,bajo
Persistent incremental installation,2022-12-22,2024-01-27,"12.789,78","0,73",email,B2C,paid,"0,40","516.246,20",401.0,media,"503.456,42",Sí,bajo,medio
Integrated full-range encoding,2023-06-18,2024-03-01,"42.818,39","0,12",email,B2B,promotion,"0,14","778.282,87",257.0,corta,"735.464,48",Sí,medio,alto
Total system-worthy framework,2023-01-16,2023-08-10,"77.090,58","0,67",email,B2C,organic,"0,10","818.026,22",206.0,corta,"740.935,64",Sí,alto,alto
Persistent disintermediate artificial intelligence,2023-01-23,2023-08-21,"10.659,15","0,70",email,B2B,promotion,"0,84","506.589,58",210.0,corta,"495.930,43",Sí,bajo,medio
Self-enabling explicit interface,2023-01-23,2024-06-19,"71.211,28","0,85",email,B2B,referral,"0,94","628.222,40",513.0,larga,"557.011,12",Sí,alto,medio
User-centric responsive software,2022-09-24,2023-08-04,"55.105,95","0,39",email,B2B,paid,"0,65","980.593,34",314.0,media,"925.487,39",Sí,medio,alto
Enterprise-wide bottom-line forecast,2023-01-27,2024-01-26,"22.701,30","0,21",email,B2C,promotion,"0,86","89.740,19",364.0,media,"67.038,89",Sí,bajo,bajo
Upgradable transitional productivity,2022-12-25,2024-05-12,"28.460,11","0,00",social media,B2B,paid,"0,37","593.949,35",504.0,larga,"565.489,24",Sí,bajo,medio
Assimilated asynchronous project,2023-03-30,2024-06-25,"81.474,69","0,34",email,B2B,paid,"0,98","116.549,43",453.0,media,"35.074,74",Sí,alto,bajo
Reverse-engineered 4thgeneration alliance,2022-10-10,2023-12-12,"99.406,41","0,77",webinar,B2B,promotion,"0,30","485.297,93",428.0,media,"385.891,52",Sí,alto,medio
Networked bi-directional help-desk,2023-03-23,2023-09-24,"89.764,52","0,50",podcast,B2C,organic,"0,80","346.320,53",185.0,corta,"256.556,01",Sí,alto,bajo
Diverse exuding superstructure,2022-09-07,2023-11-04,"11.769,71","0,63",webinar,B2B,paid,"0,24","155.142,36",423.0,media,"143.372,65",Sí,bajo,bajo
Organized directional service-desk,2022-10-17,2024-05-11,"44.085,80","0,97",webinar,B2B,referral,"0,71","88.806,24",572.0,larga,"44.720,44",Sí,medio,bajo
Balanced 24hour intranet,2022-09-15,2024-04-11,"31.712,22","0,50",email,B2C,paid,"0,12","523.802,73",574.0,larga,"492.090,51",Sí,bajo,medio
Reactive well-modulated portal,2023-02-04,2023-09-02,"34.455,95","0,40",social media,B2B,organic,"0,60","601.996,12",210.0,corta,"567.540,17",Sí,bajo,medio
Realigned intangible application,2023-07-06,2024-01-24,"31.468,43","0,47",email,B2B,promotion,"0,48","147.390,21",202.0,corta,"115.921,78",Sí,bajo,bajo
Front-line web-enabled orchestration,2023-01-12,2024-06-13,"89.740,86","0,37",social media,B2C,paid,"0,21","477.285,33",518.0,larga,"387.544,47",Sí,alto,medio
Polarized upward-trending frame,2023-03-23,2024-05-23,"6.806,20","0,55",webinar,B2B,paid,"0,78","519.790,34",427.0,media,"512.984,14",Sí,bajo,medio
Persevering content-based archive,2022-12-27,2024-01-04,"21.795,27","0,55",social media,B2B,promotion,"0,89","397.630,37",373.0,media,"375.835,10",Sí,bajo,medio
De-engineered content-based budgetary management,2022-09-10,2023-10-06,"29.328,34","0,40",social media,B2B,promotion,"0,47","92.788,70",391.0,media,"63.460,36",Sí,bajo,bajo
Inverse well-modulated forecast,2023-07-22,2024-07-11,"7.632,49","0,12",webinar,B2B,organic,"0,62","782.850,48",355.0,media,"775.217,99",Sí,bajo,alto
Progressive web-enabled concept,2022-11-16,2024-05-17,"46.890,76","0,26",webinar,B2B,organic,"0,64","258.942,95",548.0,larga,"212.052,19",Sí,medio,bajo
Visionary 4thgeneration help-desk,2022-11-23,2024-05-26,"81.853,53","0,54",webinar,B2C,referral,"0,17","974.972,63",550.0,larga,"893.119,10",Sí,alto,alto
Up-sized attitude-oriented task-force,2023-07-02,2024-04-07,"46.635,40","0,40",social media,B2C,promotion,"0,46","692.709,30",280.0,media,"646.073,90",Sí,medio,alto
Sharable secondary migration,2023-04-04,2023-09-21,"31.531,60","0,50",webinar,B2C,referral,"0,68","551.172,95",170.0,corta,"519.641,35",Sí,bajo,medio
Quality-focused methodical policy,2022-10-23,2023-10-10,"51.428,64","0,26",social media,B2C,referral,"0,28","110.819,10",352.0,media,"59.390,46",Sí,medio,bajo
Distributed multimedia encryption,2022-08-16,2024-01-22,"83.726,63","0,50",webinar,B2B,organic,"0,13","458.296,26",524.0,larga,"374.569,63",Sí,alto,medio
Switchable user-facing archive,2022-10-22,2024-06-11,"85.417,27","0,78",webinar,B2C,referral,"0,74","509.606,80",598.0,larga,"424.189,53",Sí,alto,medio
Virtual bottom-line parallelism,2022-08-16,2023-09-05,"44.082,14","0,50",email,B2C,organic,"0,49","903.002,29",385.0,media,"858.920,15",Sí,medio,alto
Customer-focused mobile Graphic Interface,2023-01-19,2023-11-21,"61.946,30","0,89",webinar,B2C,paid,"0,85","217.755,18",306.0,media,"155.808,88",Sí,alto,bajo
Networked asynchronous standardization,2023-06-06,2024-01-06,"50.168,89","0,14",email,B2B,referral,"0,67","610.750,16",214.0,corta,"560.581,27",Sí,medio,medio
Persevering coherent concept,2022-09-15,2023-12-13,"54.331,15","0,50",social media,B2B,promotion,"0,39","992.544,71",454.0,media,"938.213,56",Sí,medio,alto
Secured systemic groupware,2022-08-28,2023-10-17,"72.529,72","0,83",email,B2C,referral,"0,24","97.176,72",415.0,media,"24.647,00",Sí,alto,bajo
Team-oriented motivating productivity,2022-09-21,2023-09-06,"40.881,17","0,35",podcast,B2B,promotion,"0,10","689.581,23",350.0,media,"648.700,06",Sí,medio,alto
Seamless exuding model,2022-11-20,2023-08-05,"68.885,70","0,19",webinar,B2B,organic,"0,21","162.090,83",258.0,corta,"93.205,13",Sí,alto,bajo
Cross-platform bandwidth-monitored model,2023-02-23,2023-09-16,"48.358,00","0,30",email,B2C,paid,"0,39","507.844,26",205.0,corta,"459.486,26",Sí,medio,medio
Face-to-face high-level synergy,2022-08-15,2024-06-03,"98.289,74","0,99",webinar,B2B,paid,"0,79","811.980,83",658.0,larga,"713.691,09",Sí,alto,alto
Compatible eco-centric access,2022-08-24,2023-09-04,"4.016,62","0,62",social media,B2B,referral,"0,99","773.055,56",376.0,media,"769.038,94",Sí,bajo,alto
Down-sized web-enabled data-warehouse,2023-04-08,2024-06-03,"41.419,79","0,74",social media,B2B,organic,"0,35","289.139,49",422.0,media,"247.719,70",Sí,medio,bajo
Streamlined non-volatile projection,2022-10-17,2024-01-19,"52.686,92","0,18",social media,B2B,organic,"0,28","443.069,55",459.0,larga,"390.382,63",Sí,medio,medio
Synergized client-driven algorithm,2023-04-11,2023-12-05,"16.420,77","0,92",social media,B2C,organic,"0,73","632.069,31",238.0,corta,"615.648,54",Sí,bajo,alto
Cross-platform composite matrix,2022-10-30,2024-02-25,"46.976,52","0,10",webinar,B2C,organic,"0,85","371.431,14",483.0,larga,"324.454,62",Sí,medio,bajo
Networked background utilization,2023-03-12,2024-05-19,"91.122,63","0,50",social media,B2C,organic,"0,70","831.243,27",434.0,media,"740.120,64",Sí,alto,alto
Quality-focused composite challenge,2022-12-01,2024-01-28,"4.855,98","0,35",podcast,B2B,promotion,"0,85","649.003,16",423.0,media,"644.147,18",Sí,bajo,alto
Enhanced asymmetric open system,2023-04-08,2023-12-20,"54.503,83","0,50",social media,B2B,promotion,"0,90","79.089,30",256.0,corta,"24.585,47",Sí,medio,bajo
Innovative hybrid time-frame,2022-08-12,2023-12-21,"12.098,23","0,50",email,B2C,paid,"0,44","270.608,24",496.0,larga,"258.510,01",Sí,bajo,bajo
Re-engineered intangible intranet,2023-03-06,2024-03-15,"14.419,22","0,29",podcast,B2C,promotion,"0,18","108.083,40",375.0,media,"93.664,18",Sí,bajo,bajo
Multi-channeled zero administration software,2023-01-09,2023-10-17,"59.892,40","0,68",email,B2B,promotion,"0,66","940.283,84",281.0,media,"880.391,44",Sí,alto,alto
Universal national adapter,2022-11-28,2024-07-05,"5.197,61","0,10",social media,B2C,referral,"0,78","61.121,60",585.0,larga,"55.923,99",Sí,bajo,bajo
Centralized system-worthy knowledgebase,2022-09-16,2024-01-20,"6.310,87","0,74",email,B2C,paid,"0,62","845.412,79",491.0,larga,"839.101,92",Sí,bajo,alto
Open-architected asymmetric time-frame,2023-03-25,2024-06-03,"80.612,13","0,31",podcast,B2C,promotion,"0,97","112.762,13",436.0,media,"32.150,00",Sí,alto,bajo
Centralized leadingedge Local Area Network,2023-01-31,2023-09-27,"80.358,87","0,50",webinar,B2B,organic,"0,64","112.718,32",239.0,corta,"32.359,45",Sí,alto,bajo
Organized needs-based conglomeration,2022-10-19,2023-10-02,"73.855,23","0,54",social media,B2B,promotion,"0,50","215.072,47",348.0,media,"141.217,24",Sí,alto,bajo
Optional secondary collaboration,2023-04-19,2024-02-28,"63.911,62","0,40",podcast,B2C,organic,"0,49","177.445,17",315.0,media,"113.533,55",Sí,alto,bajo
Synchronized client-driven challenge,2023-02-08,2023-08-22,"50.124,39","0,70",social media,B2B,paid,"0,22","639.517,42",195.0,corta,"589.393,03",Sí,medio,medio
Enterprise-wide zero administration Graphic Interface,2022-11-24,2024-05-11,"38.086,24","0,65",podcast,B2C,paid,"0,71","684.590,46",534.0,larga,"646.504,22",Sí,medio,alto
Programmable local moratorium,2023-03-27,2023-08-15,"48.046,33","0,90",podcast,B2C,promotion,"0,45","50.534,85",141.0,corta,"2.488,52",Sí,medio,bajo
Networked systematic attitude,2022-11-01,2023-10-02,"63.808,20","0,67",email,B2B,promotion,"0,17","275.542,30",335.0,media,"211.734,10",Sí,alto,bajo
Pre-emptive solution-oriented standardization,2023-01-31,2023-12-24,"26.057,53","0,94",email,B2B,referral,"0,32","169.915,72",327.0,media,"143.858,19",Sí,bajo,bajo
Down-sized contextually-based strategy,2022-12-07,2024-01-20,"56.381,60","0,70",social media,B2C,referral,"0,41","492.601,20",409.0,media,"436.219,60",Sí,medio,medio
Reverse-engineered zero administration workforce,2022-10-11,2023-10-14,"57.815,10","0,62",webinar,B2B,promotion,"0,65","962.065,90",368.0,media,"904.250,80",Sí,medio,alto
Pre-emptive real-time database,2023-07-28,2023-09-11,"75.262,37","0,75",webinar,B2B,referral,"0,70","421.847,27",45.0,corta,"346.584,90",Sí,alto,bajo
